,Places,ID,Location,unknown,religious,pharaonic,modern,ancient,natural,romanian,humanly,fun,Islamic,Coptic
26,The Royal Carriages Museum,26,Cairo,0,0,0,1,1,0,0,1,1,0,0
27,Abdeen Palace,27,Cairo,0,0,0,1,1,0,0,1,1,0,0
28,Citadel of Qaitbay,28,Alexanderia,0,0,0,1,1,0,0,1,1,0,0
29,Museum of Islamic Art,29,Cairo,0,1,0,1,1,0,0,1,1,1,0
30,National Museum of Egyptian Civilization(NMEC),30,Cairo,0,0,1,1,1,0,0,1,1,0,0
31,Baron Empain Palace,31,Cairo,0,0,0,1,0,0,0,1,1,0,0
32,Cairo Tower,32,Cairo,0,0,0,1,0,0,0,1,1,0,0
33,Khan el-Khalili,33,Cairo,0,1,0,1,1,1,1,1,1,1,0
34,Bayt Al-Suhaymi,34,Cairo,0,0,0,0,1,0,0,1,1,1,0
35,Muhammad Ali Pasha Palace,35,Cairo,0,0,0,1,1,0,0,1,1,1,0
36,Muhammad Ali Mosque,36,Cairo,0,1,0,1,1,0,0,1,1,1,0
37,Aswan Museum,37,Aswan,0,0,1,0,1,0,0,1,1,0,0
38,Temple of Kom Ombo,38,Aswan,0,0,1,0,1,0,0,1,0,0,0
39,October War Panorama Museum,39,Cairo,0,0,0,1,0,0,0,1,1,0,0
40,Al-Azhar Mosque,40,Cairo,0,1,0,1,1,0,0,1,0,1,0
41,Sultan Hassan Mosque,41,Cairo,0,1,0,1,1,0,0,1,0,1,0
42,Ibn Tulun Mosque,42,Cairo,0,1,0,1,1,0,0,1,0,1,0
43,Aisha Fahmy Palace,43,Cairo,0,0,0,1,0,0,0,1,1,0,0
44,The Grand Egyptian Museum,44,Giza,0,0,1,1,1,0,0,1,1,0,0
45,Pharaonic Village,45,Giza,0,0,1,1,1,1,0,1,1,0,0
46,Sunboat Museum,46,Giza,0,0,1,1,1,0,0,1,1,0,0
47,Museum of Islamic Ceramics,47,Giza,0,0,0,1,1,0,0,1,0,1,0
48,Egypt Papyrus Museum,48,Giza,0,0,1,1,1,0,0,1,1,0,0
49,Bahariya Oasis,49,Giza,0,0,0,1,1,1,0,0,1,0,0
50,Agricultural Museum,50,Giza,0,0,0,1,1,1,0,1,0,0,0
51,Abu Sir area,51,Giza,0,0,1,0,1,0,0,1,0,0,0
